IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
myzo000,0,0,0,0,n_items: 57; accuracy: 0.7368; avg_rt: 22.6590; var_rt: 404.2493; rt_cv: 0.8873; longest_correct_streak: 15; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6071
duwi894,0,0,0,0,n_items: 57; accuracy: 0.7895; avg_rt: 17.0157; var_rt: 404.0991; rt_cv: 1.1814; longest_correct_streak: 15; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6429
hoki309,0,4,0,1,n_items: 57; accuracy: 0.5439; avg_rt: 18.2883; var_rt: 356.2827; rt_cv: 1.0321; longest_correct_streak: 6; longest_incorrect_streak: 5; consecutive_correct_rate: 0.3750
pubu440,2,8,2,1,n_items: 57; accuracy: 0.3684; avg_rt: 9.1826; var_rt: 69.9222; rt_cv: 0.9106; longest_correct_streak: 7; longest_incorrect_streak: 13; consecutive_correct_rate: 0.2321
vuho146,0,0,0,1,n_items: 57; accuracy: 0.6140; avg_rt: 19.5216; var_rt: 338.2717; rt_cv: 0.9421; longest_correct_streak: 9; longest_incorrect_streak: 5; consecutive_correct_rate: 0.4643
lore323,2,8,2,1,n_items: 57; accuracy: 0.3509; avg_rt: 17.1375; var_rt: 116.4565; rt_cv: 0.6297; longest_correct_streak: 5; longest_incorrect_streak: 9; consecutive_correct_rate: 0.1786
wowy820,2,4,2,1,n_items: 57; accuracy: 0.3333; avg_rt: 20.2377; var_rt: 319.0116; rt_cv: 0.8826; longest_correct_streak: 7; longest_incorrect_streak: 23; consecutive_correct_rate: 0.2143
vabe169,3,9,3,2,n_items: 57; accuracy: 0.8772; avg_rt: 15.1255; var_rt: 158.7968; rt_cv: 0.8331; longest_correct_streak: 26; longest_incorrect_streak: 3; consecutive_correct_rate: 0.8036
kise589,0,0,0,2,n_items: 57; accuracy: 0.7895; avg_rt: 21.9458; var_rt: 320.3492; rt_cv: 0.8156; longest_correct_streak: 24; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6964
buvy316,0,0,0,2,n_items: 57; accuracy: 0.7544; avg_rt: 20.6187; var_rt: 368.2469; rt_cv: 0.9307; longest_correct_streak: 10; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5714
ryzo168,3,9,3,2,n_items: 57; accuracy: 0.7368; avg_rt: 14.7082; var_rt: 156.0025; rt_cv: 0.8492; longest_correct_streak: 16; longest_incorrect_streak: 3; consecutive_correct_rate: 0.5536
gaho243,0,0,0,2,n_items: 57; accuracy: 0.7368; avg_rt: 21.3642; var_rt: 288.3982; rt_cv: 0.7949; longest_correct_streak: 14; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6071
nopo152,1,1,1,3,n_items: 57; accuracy: 0.5439; avg_rt: 12.9052; var_rt: 93.2335; rt_cv: 0.7482; longest_correct_streak: 14; longest_incorrect_streak: 11; consecutive_correct_rate: 0.4107
tosa657,3,9,3,3,n_items: 57; accuracy: 0.8421; avg_rt: 11.9142; var_rt: 122.2048; rt_cv: 0.9279; longest_correct_streak: 15; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7321
foji729,3,3,3,3,n_items: 57; accuracy: 0.7368; avg_rt: 13.3719; var_rt: 107.3750; rt_cv: 0.7749; longest_correct_streak: 14; longest_incorrect_streak: 2; consecutive_correct_rate: 0.5536
nasi298,3,9,3,3,n_items: 57; accuracy: 0.8772; avg_rt: 16.1142; var_rt: 251.7385; rt_cv: 0.9846; longest_correct_streak: 31; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7857
zapy404,0,1,0,3,n_items: 57; accuracy: 0.6316; avg_rt: 19.8417; var_rt: 206.9768; rt_cv: 0.7251; longest_correct_streak: 11; longest_incorrect_streak: 6; consecutive_correct_rate: 0.4643
buzo685,1,1,1,4,n_items: 57; accuracy: 0.6491; avg_rt: 16.1063; var_rt: 192.4557; rt_cv: 0.8613; longest_correct_streak: 7; longest_incorrect_streak: 3; consecutive_correct_rate: 0.4643
