IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,3,7,7
pivi588,1,3,7,7
weda047,2,3,7,7
zoka501,3,6,1,1
hyku415,4,2,2,2
syvi476,5,0,5,5
kuqy630,6,2,2,2
node314,7,3,7,7
mybu425,8,0,5,5
pyqy867,9,4,8,8
tywo507,10,3,7,7
nuhi137,11,0,5,5
vuho146,12,0,5,5
nysa238,13,0,5,5
kisa730,14,3,7,7
doza768,15,0,5,5
sapu497,16,0,5,5
dila385,17,3,7,7
pymu787,18,3,7,7
bejy525,19,0,5,5
bajo794,20,3,7,7
dugu064,21,6,1,1
hiwu738,22,1,7,7
zucy684,23,3,7,7
huxe147,24,0,5,5
woza563,25,0,5,5
neku787,26,2,2,2
navo572,27,0,5,5
gola051,28,0,5,5
pyzo535,29,0,5,5
xoky149,30,6,1,1
loxu319,31,2,2,2
qisu640,32,0,5,5
gery678,33,0,5,5
huho039,34,0,5,5
wozo826,35,3,7,7
soru820,36,0,5,5
fari709,37,3,9,9
qapo730,38,0,5,5
najy705,39,6,1,1
sejy814,40,2,2,2
laze716,41,2,2,2
kojo378,42,6,1,1
tepu554,43,0,5,5
dyva324,44,0,5,5
pusu302,45,3,7,7
xamy888,46,3,7,7
ninu744,47,3,7,7
punu537,48,0,5,5
zufa556,49,3,7,7
losy787,50,1,3,3
fuxa711,51,5,4,4
myzo000,52,2,2,2
jygo886,53,0,5,5
dyzo734,54,3,7,7
ciky680,55,2,2,2
nopo152,56,0,0,0
tivy194,57,2,2,2
biry098,58,0,5,5
tebo981,59,2,2,2
jyma323,60,6,6,6
cani065,61,3,7,7
puxi257,62,0,5,5
jemy201,63,0,5,5
woqa919,64,2,2,2
huze427,65,0,5,5
jaxe723,66,3,7,7
xamy676,67,0,5,5
lowy720,68,3,7,7
mixa281,69,0,0,0
sipy389,70,0,5,5
bube109,71,3,7,7
boqe999,72,3,9,9
guzo911,73,0,5,5
guxe800,74,3,7,7
