IDCode,narrative_text
paxi044,n_items: 57; accuracy: 0.1579; avg_rt: 13.8095; var_rt: 517.5915; rt_cv: 1.6475; longest_correct_streak: 3; longest_incorrect_streak: 28; consecutive_correct_rate: 0.0536
pivi588,n_items: 57; accuracy: 0.9123; avg_rt: 17.5931; var_rt: 476.2407; rt_cv: 1.2404; longest_correct_streak: 23; longest_incorrect_streak: 2; consecutive_correct_rate: 0.8571
weda047,n_items: 57; accuracy: 0.8421; avg_rt: 12.2794; var_rt: 193.9920; rt_cv: 1.1343; longest_correct_streak: 26; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7321
zoka501,n_items: 57; accuracy: 0.6667; avg_rt: 15.7970; var_rt: 109.1960; rt_cv: 0.6615; longest_correct_streak: 15; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5000
hyku415,n_items: 57; accuracy: 0.7368; avg_rt: 29.4287; var_rt: 1214.9436; rt_cv: 1.1844; longest_correct_streak: 25; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6071
syvi476,n_items: 57; accuracy: 0.3860; avg_rt: 10.2619; var_rt: 73.1078; rt_cv: 0.8332; longest_correct_streak: 7; longest_incorrect_streak: 11; consecutive_correct_rate: 0.2321
kuqy630,n_items: 57; accuracy: 0.7895; avg_rt: 25.6120; var_rt: 638.3340; rt_cv: 0.9865; longest_correct_streak: 12; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6429
node314,n_items: 57; accuracy: 0.6316; avg_rt: 27.0830; var_rt: 636.9025; rt_cv: 0.9318; longest_correct_streak: 14; longest_incorrect_streak: 4; consecutive_correct_rate: 0.4643
mybu425,n_items: 57; accuracy: 0.6842; avg_rt: 16.7596; var_rt: 505.0352; rt_cv: 1.3409; longest_correct_streak: 13; longest_incorrect_streak: 6; consecutive_correct_rate: 0.5536
pyqy867,n_items: 57; accuracy: 0.7895; avg_rt: 17.5719; var_rt: 215.1964; rt_cv: 0.8348; longest_correct_streak: 12; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6250
tywo507,n_items: 57; accuracy: 0.8246; avg_rt: 12.1537; var_rt: 139.3600; rt_cv: 0.9713; longest_correct_streak: 17; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7143
nuhi137,n_items: 57; accuracy: 0.5263; avg_rt: 13.8496; var_rt: 95.3970; rt_cv: 0.7052; longest_correct_streak: 9; longest_incorrect_streak: 6; consecutive_correct_rate: 0.3571
vuho146,n_items: 57; accuracy: 0.6140; avg_rt: 19.5216; var_rt: 338.2717; rt_cv: 0.9421; longest_correct_streak: 9; longest_incorrect_streak: 5; consecutive_correct_rate: 0.4643
nysa238,n_items: 57; accuracy: 0.5263; avg_rt: 25.5549; var_rt: 579.7055; rt_cv: 0.9422; longest_correct_streak: 13; longest_incorrect_streak: 9; consecutive_correct_rate: 0.4107
kisa730,n_items: 57; accuracy: 0.7368; avg_rt: 33.5478; var_rt: 1450.0532; rt_cv: 1.1351; longest_correct_streak: 15; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5536
doza768,n_items: 57; accuracy: 0.6140; avg_rt: 33.1575; var_rt: 786.7169; rt_cv: 0.8459; longest_correct_streak: 6; longest_incorrect_streak: 4; consecutive_correct_rate: 0.3929
sapu497,n_items: 57; accuracy: 0.6316; avg_rt: 19.5417; var_rt: 279.9853; rt_cv: 0.8563; longest_correct_streak: 12; longest_incorrect_streak: 6; consecutive_correct_rate: 0.5000
dila385,n_items: 57; accuracy: 0.7193; avg_rt: 17.1498; var_rt: 305.0948; rt_cv: 1.0185; longest_correct_streak: 13; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6071
pymu787,n_items: 57; accuracy: 0.5789; avg_rt: 19.4188; var_rt: 720.5617; rt_cv: 1.3823; longest_correct_streak: 17; longest_incorrect_streak: 16; consecutive_correct_rate: 0.4821
bejy525,n_items: 57; accuracy: 0.7018; avg_rt: 22.3181; var_rt: 496.1581; rt_cv: 0.9981; longest_correct_streak: 18; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5893
bajo794,n_items: 57; accuracy: 0.7544; avg_rt: 18.0082; var_rt: 199.3491; rt_cv: 0.7840; longest_correct_streak: 17; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6071
dugu064,n_items: 57; accuracy: 0.4912; avg_rt: 19.1794; var_rt: 461.8091; rt_cv: 1.1205; longest_correct_streak: 15; longest_incorrect_streak: 9; consecutive_correct_rate: 0.3750
hiwu738,n_items: 57; accuracy: 0.8246; avg_rt: 14.4707; var_rt: 231.1249; rt_cv: 1.0506; longest_correct_streak: 15; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7143
zucy684,n_items: 57; accuracy: 0.7895; avg_rt: 27.8967; var_rt: 812.1146; rt_cv: 1.0215; longest_correct_streak: 21; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6964
huxe147,n_items: 57; accuracy: 0.6316; avg_rt: 19.5750; var_rt: 186.3252; rt_cv: 0.6973; longest_correct_streak: 11; longest_incorrect_streak: 6; consecutive_correct_rate: 0.4464
woza563,n_items: 57; accuracy: 0.6140; avg_rt: 27.4483; var_rt: 563.5674; rt_cv: 0.8649; longest_correct_streak: 9; longest_incorrect_streak: 5; consecutive_correct_rate: 0.4464
