IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
nopo152,4,4,3,0,n_items: 57; accuracy: 0.5439; avg_rt: 12.9052; var_rt: 93.2335; rt_cv: 0.7482; longest_correct_streak: 14; longest_incorrect_streak: 11; consecutive_correct_rate: 0.4107
mixa281,4,4,3,0,n_items: 57; accuracy: 0.5614; avg_rt: 19.3203; var_rt: 244.5633; rt_cv: 0.8094; longest_correct_streak: 13; longest_incorrect_streak: 7; consecutive_correct_rate: 0.4107
viba035,4,4,3,0,n_items: 57; accuracy: 0.5614; avg_rt: 17.9928; var_rt: 161.0698; rt_cv: 0.7054; longest_correct_streak: 12; longest_incorrect_streak: 10; consecutive_correct_rate: 0.4107
hyfe498,4,4,3,0,n_items: 57; accuracy: 0.5439; avg_rt: 11.3866; var_rt: 84.0191; rt_cv: 0.8050; longest_correct_streak: 8; longest_incorrect_streak: 12; consecutive_correct_rate: 0.4107
roho333,4,3,0,0,n_items: 57; accuracy: 0.5439; avg_rt: 27.7956; var_rt: 659.9017; rt_cv: 0.9242; longest_correct_streak: 13; longest_incorrect_streak: 11; consecutive_correct_rate: 0.4107
feke878,0,5,3,1,n_items: 57; accuracy: 0.6491; avg_rt: 24.1824; var_rt: 504.1838; rt_cv: 0.9285; longest_correct_streak: 17; longest_incorrect_streak: 4; consecutive_correct_rate: 0.4821
zady580,4,3,2,1,n_items: 57; accuracy: 0.5965; avg_rt: 27.1837; var_rt: 706.0649; rt_cv: 0.9775; longest_correct_streak: 11; longest_incorrect_streak: 14; consecutive_correct_rate: 0.4821
gelu604,1,2,1,1,n_items: 57; accuracy: 0.9474; avg_rt: 11.1854; var_rt: 105.9016; rt_cv: 0.9200; longest_correct_streak: 38; longest_incorrect_streak: 1; consecutive_correct_rate: 0.9107
fode209,5,7,2,1,n_items: 57; accuracy: 0.6667; avg_rt: 31.4334; var_rt: 1921.0903; rt_cv: 1.3944; longest_correct_streak: 10; longest_incorrect_streak: 7; consecutive_correct_rate: 0.5357
xutu412,1,2,1,1,n_items: 57; accuracy: 0.9474; avg_rt: 15.1925; var_rt: 235.4379; rt_cv: 1.0100; longest_correct_streak: 32; longest_incorrect_streak: 1; consecutive_correct_rate: 0.9107
kula014,1,6,1,2,n_items: 57; accuracy: 0.8421; avg_rt: 19.4667; var_rt: 210.8505; rt_cv: 0.7459; longest_correct_streak: 16; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7143
zipu412,3,9,1,2,n_items: 57; accuracy: 0.7895; avg_rt: 11.9804; var_rt: 120.5138; rt_cv: 0.9163; longest_correct_streak: 18; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6429
tebo981,1,6,1,2,n_items: 57; accuracy: 0.8421; avg_rt: 14.3375; var_rt: 174.2963; rt_cv: 0.9208; longest_correct_streak: 31; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7143
kuqy630,5,0,2,2,n_items: 57; accuracy: 0.7895; avg_rt: 25.6120; var_rt: 638.3340; rt_cv: 0.9865; longest_correct_streak: 12; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6429
kise589,3,0,1,2,n_items: 57; accuracy: 0.7895; avg_rt: 21.9458; var_rt: 320.3492; rt_cv: 0.8156; longest_correct_streak: 24; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6964
juqo313,3,6,1,3,n_items: 57; accuracy: 0.8246; avg_rt: 11.3661; var_rt: 78.1822; rt_cv: 0.7779; longest_correct_streak: 29; longest_incorrect_streak: 4; consecutive_correct_rate: 0.7500
bihi184,2,1,0,3,n_items: 57; accuracy: 0.1754; avg_rt: 12.8439; var_rt: 141.8830; rt_cv: 0.9274; longest_correct_streak: 5; longest_incorrect_streak: 36; consecutive_correct_rate: 0.1071
maju644,4,8,3,3,n_items: 57; accuracy: 0.5789; avg_rt: 10.9501; var_rt: 163.3549; rt_cv: 1.1672; longest_correct_streak: 11; longest_incorrect_streak: 13; consecutive_correct_rate: 0.4821
cyga680,1,6,1,3,n_items: 57; accuracy: 0.8421; avg_rt: 12.3513; var_rt: 110.7616; rt_cv: 0.8521; longest_correct_streak: 25; longest_incorrect_streak: 4; consecutive_correct_rate: 0.7500
cupe992,2,1,0,3,n_items: 57; accuracy: 0.3158; avg_rt: 17.9598; var_rt: 229.4413; rt_cv: 0.8434; longest_correct_streak: 7; longest_incorrect_streak: 11; consecutive_correct_rate: 0.1786
sazy810,3,6,1,4,n_items: 57; accuracy: 0.8070; avg_rt: 15.7173; var_rt: 192.6694; rt_cv: 0.8831; longest_correct_streak: 18; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6786
buzo685,0,5,3,4,n_items: 57; accuracy: 0.6491; avg_rt: 16.1063; var_rt: 192.4557; rt_cv: 0.8613; longest_correct_streak: 7; longest_incorrect_streak: 3; consecutive_correct_rate: 0.4643
fuxa711,4,4,3,4,n_items: 57; accuracy: 0.5789; avg_rt: 17.5022; var_rt: 192.2227; rt_cv: 0.7922; longest_correct_streak: 11; longest_incorrect_streak: 6; consecutive_correct_rate: 0.4107
xime971,4,4,0,4,n_items: 57; accuracy: 0.4912; avg_rt: 14.6721; var_rt: 172.6537; rt_cv: 0.8956; longest_correct_streak: 8; longest_incorrect_streak: 17; consecutive_correct_rate: 0.3393
sati762,0,5,3,4,n_items: 57; accuracy: 0.6667; avg_rt: 18.0960; var_rt: 409.8021; rt_cv: 1.1187; longest_correct_streak: 20; longest_incorrect_streak: 6; consecutive_correct_rate: 0.5357
qefe646,4,3,0,5,n_items: 57; accuracy: 0.4561; avg_rt: 19.3166; var_rt: 348.6057; rt_cv: 0.9666; longest_correct_streak: 5; longest_incorrect_streak: 14; consecutive_correct_rate: 0.2857
lobo127,0,5,3,5,n_items: 57; accuracy: 0.6842; avg_rt: 22.0466; var_rt: 350.1195; rt_cv: 0.8487; longest_correct_streak: 20; longest_incorrect_streak: 6; consecutive_correct_rate: 0.5714
puce552,4,4,3,5,n_items: 57; accuracy: 0.5439; avg_rt: 18.9675; var_rt: 48.4548; rt_cv: 0.3670; longest_correct_streak: 7; longest_incorrect_streak: 6; consecutive_correct_rate: 0.3214
